Título,Precio,Dirección,URL,Metros cuadrados,Recámaras,Baños
"Valente Díaz - 2 Lomas número 100, Fracc. La Querencia Residencial, 91697 Veracruz, Ver., Col. Libertad, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91697, ID: 29709049","$1,501,500 MXN","Valente Díaz - 2 Lomas número 100, Fracc. La Querencia Residencial, 91697 Veracruz, Ver., Col. Libertad",https://propiedades.com/inmuebles/casa-en-venta-valente-diaz--2-lomas-numero-100-fracc-la-querencia-residencial-91697-veracruz-ver-libertad-veracruz-29709049#pagina=1&tipos=casas-venta&area=veracruz&pos=31,90,3,3
"Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29708443","$601,200 MXN","Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno",https://propiedades.com/inmuebles/casa-en-venta-av-veracruz-no-23-fracc-puente-moreno-cp-94274-medellin-de-bravo-veracruz-puente-moreno-veracruz-29708443#pagina=1&tipos=casas-venta&area=veracruz&pos=32,67,2,1
"Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29708356","$990,600 MXN","Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno",https://propiedades.com/inmuebles/casa-en-venta-av-veracruz-no-23-fracc-puente-moreno-cp-94274-medellin-de-bravo-veracruz-puente-moreno-veracruz-29708356#pagina=1&tipos=casas-venta&area=veracruz&pos=33,67,2,1
"Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91725, ID: 29709341","$858,000 MXN","Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-av-valente-diaz--2-lomas-sn-fracc-heroes-de-veracruz-91725-veracruz-ver-16-de-febrero-veracruz-29709341#pagina=1&tipos=casas-venta&area=veracruz&pos=34,62,2,1
"Av. Orizaba, Col. Obrero Campesina, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91020, ID: 28573035","$2,500,000 MXN","Av. Orizaba, Col. Obrero Campesina",https://propiedades.com/inmuebles/casa-en-venta-av-orizaba-obrero-campesina-veracruz-28573035#pagina=1&tipos=casas-venta&area=veracruz&pos=35,220,3,3
"Boulevard Europa 28 #28, Col. Ánimas Marqueza, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91193, ID: 26900582","$3,400,000 MXN","Boulevard Europa 28 #28, Col. Ánimas  Marqueza",https://propiedades.com/inmuebles/casa-en-venta-boulevard-europa-28-28-animas-marqueza-veracruz-26900582#pagina=1&tipos=casas-venta&area=veracruz&pos=36,204,1,3
"Sonora #621, Col. Petrolera, Coatzacoalcos, Veracruz de Ignacio de la Llave, México, C.P. 96500, ID: 27144913","$9,000,000 MXN","Sonora #621, Col. Petrolera",https://propiedades.com/inmuebles/casa-en-venta-sonora-621-petrolera-veracruz-27144913#pagina=1&tipos=casas-venta&area=veracruz&pos=37,450,7,7
"Paseo Floresta Oriente 1340, Col. Floresta, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91940, ID: 29501787","$3,400,000 MXN","Paseo Floresta Oriente 1340, Col. Floresta",https://propiedades.com/inmuebles/casa-en-venta-paseo-floresta-oriente-1340-floresta-veracruz-29501787#pagina=1&tipos=casas-venta&area=veracruz&pos=38,270,4,3
"Desiderio Pavón, Col. Mártires de Chicago, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91094, ID: 29501952","$5,300,000 MXN","Desiderio Pavón, Col. Mártires de Chicago",https://propiedades.com/inmuebles/casa-en-venta-desiderio-pavon-martires-de-chicago-veracruz-29501952#pagina=1&tipos=casas-venta&area=veracruz&pos=39,600,4,2
"Palma Sola, Col. Rancho Nuevo, Alto Lucero de Gutiérrez Barrios, Veracruz de Ignacio de la Llave, México, C.P. 91477, ID: 29058514","$97,000,000 MXN","Palma Sola, Col. Rancho Nuevo",,277999,4,6
"General Prim #545, Col. Veracruz Centro, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91700, ID: 29403619","$3,500,000 MXN","General Prim #545, Col. Veracruz Centro",https://propiedades.com/inmuebles/casa-en-venta-general-prim-545-veracruz-centro-veracruz-29403619#pagina=1&tipos=casas-venta&area=veracruz&pos=41,420,3,2
"Casa en venta en Col Adalberto Tejeda con Hab PB #948Int. 261, Col. Adalberto Tejeda, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94298, ID: 29864667","$1,795,000 MXN","Casa en venta en Col Adalberto Tejeda con Hab PB #948Int. 261, Col. Adalberto Tejeda",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-col-adalberto-tejeda-con-hab-pb-948-adalberto-tejeda-veracruz-29864667#pagina=1&tipos=casas-venta&area=veracruz&pos=42,130,3,2
"COSTA DE ORO #ND, Col. Costa de Oro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94299, ID: 29082933","$5,500,000 MXN","COSTA DE ORO #ND, Col. Costa de Oro",https://propiedades.com/inmuebles/casa-en-venta-costa-de-oro-nd-costa-de-oro-veracruz-29082933#pagina=1&tipos=casas-venta&area=veracruz&pos=43,284,3,2
"Casa en venta en Veracruz en Fracc Real Mandinga #617Int. 358, Col. Real Mandinga, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29403449","$2,600,000 MXN","Casa en venta en Veracruz en Fracc Real Mandinga  #617Int. 358, Col. Real Mandinga",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-en-fracc-real-mandinga-617-real-mandinga-veracruz-29403449#pagina=1&tipos=casas-venta&area=veracruz&pos=45,166,3,2
"Sur 2, Col. Articulo 123, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91947, ID: 29764980","$1,800,000 MXN","Sur 2, Col. Articulo 123",https://propiedades.com/inmuebles/casa-en-venta-sur-2-articulo-123-veracruz-29764980#pagina=1&tipos=casas-venta&area=veracruz&pos=46,170,4,2
"Casa en venta en Veracruz col Manantial #265Int. 197, Col. El Manantial, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94297, ID: 29384869","$2,250,000 MXN","Casa en venta en Veracruz col Manantial  #265Int. 197, Col. El Manantial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-col-manantial-265-el-manantial-veracruz-29384869#pagina=1&tipos=casas-venta&area=veracruz&pos=47,160,2,3
"San Francisco Norte, Col. Los Aguacates, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95276, ID: 29882160","$1,850,000 MXN","San Francisco Norte, Col. Los Aguacates",https://propiedades.com/inmuebles/casa-en-venta-san-francisco-norte-los-aguacates-veracruz-29882160#pagina=2&tipos=casas-venta&area=veracruz&pos=2,220,5,2
"Casa en venta en Veracruz Fracc Lomas del Mediterráneo #164Int. 298, Col. Las Lomas Residencial, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29967843","$2,850,000 MXN","Casa en venta en  Veracruz Fracc Lomas del Mediterráneo  #164Int. 298, Col. Las Lomas Residencial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-mediterraneo-164-las-lomas-residencial-veracruz-29967843#pagina=2&tipos=casas-venta&area=veracruz&pos=3,145,3,3
"LAS PALMAS, Col. Las Palmas, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29986514","$3,390,000 MXN","LAS PALMAS, Col. Las Palmas",https://propiedades.com/inmuebles/casa-en-venta-las-palmas-las-palmas-veracruz-29986514#pagina=2&tipos=casas-venta&area=veracruz&pos=4,140,3,3
"Casa en venta en Veracruz Fracc Los Héroes #249Int. 294, Col. Los Héroes Veracruz, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91698, ID: 29834601","$1,500,000 MXN","Casa en venta en Veracruz Fracc Los Héroes #249Int. 294, Col. Los Héroes Veracruz",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-los-heroes-249-los-heroes-veracruz-veracruz-29834601#pagina=2&tipos=casas-venta&area=veracruz&pos=6,89,2,1
"Casa en venta en Fracc Lomas de la Rioja #298Int. 164, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29853458","$3,720,000 MXN","Casa en venta en Fracc Lomas de la Rioja  #298Int. 164, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-fracc-lomas-de-la-rioja-298-lomas-de-la-rioja-veracruz-29853458#pagina=2&tipos=casas-venta&area=veracruz&pos=7,176,3,3
"Casa en venta en Veracruz Col Astilleros con Hab en PB #26Int. 197, Col. Astilleros de Veracruz, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91800, ID: 29886537","$1,900,000 MXN","Casa en venta en Veracruz Col Astilleros con Hab en PB #26Int. 197, Col. Astilleros de Veracruz",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-col-astilleros-con-hab-en-pb-26-astilleros-de-veracruz-veracruz-29886537#pagina=2&tipos=casas-venta&area=veracruz&pos=10,298,6,2
"PRIVADA SANTA MARIA #s/n, Col. Villa de las Flores, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94477, ID: 30005170","$1,650,000 MXN","PRIVADA SANTA MARIA #s/n, Col. Villa de las Flores",https://propiedades.com/inmuebles/casa-en-venta-privada-santa-maria-sn-villa-de-las-flores-veracruz-30005170#pagina=2&tipos=casas-venta&area=veracruz&pos=11,147,3,2
"Casa en venta en Veracruz Fracc Lomas de la Rioja #19Int. 26, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 30034810","$3,450,000 MXN","Casa en venta en Veracruz Fracc Lomas de la Rioja   #19Int. 26, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-de-la-rioja--19-lomas-de-la-rioja-veracruz-30034810#pagina=2&tipos=casas-venta&area=veracruz&pos=12,234,3,3
"COSTA DE ORO, Col. Costa de Oro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94299, ID: 29986591","$6,990,000 MXN","COSTA DE ORO, Col. Costa de Oro",https://propiedades.com/inmuebles/casa-en-venta-costa-de-oro-costa-de-oro-veracruz-29986591#pagina=2&tipos=casas-venta&area=veracruz&pos=13,280,4,4
"COSTA DE ORO, Col. Costa de Oro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94299, ID: 29986559","$11,500,000 MXN","COSTA DE ORO, Col. Costa de Oro",https://propiedades.com/inmuebles/casa-en-venta-costa-de-oro-costa-de-oro-veracruz-29986559#pagina=2&tipos=casas-venta&area=veracruz&pos=14,332,3,3
"Casa en venta en Veracruz Fracc Punta Tiburón #29Int. 14, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29785340","$5,990,000 MXN","Casa en venta en Veracruz Fracc Punta Tiburón  #29Int. 14, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-punta-tiburon-29-punta-tiburon-residencial-marina-y-golf-veracruz-29785340#pagina=2&tipos=casas-venta&area=veracruz&pos=16,295,3,2
"Casa en venta en Veracruz Fracc Punta Tiburón #265Int. 198, Col. Punta Tiburón, Residencial, Marina y Golf, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29738217","$4,900,000 MXN","Casa en venta en Veracruz Fracc Punta Tiburón  #265Int. 198, Col. Punta Tiburón, Residencial, Marina y Golf",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-punta-tiburon-265-punta-tiburon-residencial-marina-y-golf-veracruz-29738217#pagina=2&tipos=casas-venta&area=veracruz&pos=18,237,3,4
"Casa en venta en Veracruz dividida en 2 Fracc Las Vegas #134Int. 294, Col. INFONAVIT las Vegas, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94297, ID: 29824103","$1,890,000 MXN","Casa en venta en Veracruz dividida en 2 Fracc Las Vegas #134Int. 294, Col. INFONAVIT las Vegas",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-dividida-en-2-fracc-las-vegas-134-infonavit-las-vegas-veracruz-29824103#pagina=2&tipos=casas-venta&area=veracruz&pos=20,164,4,4
"Casa en venta en Veracruz Fracc lomas del Dorado #294Int. 194, Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 29812891","$3,150,000 MXN","Casa en venta en Veracruz Fracc lomas del Dorado  #294Int. 194, Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-del-dorado-294-boca-del-rio-centro-veracruz-29812891#pagina=2&tipos=casas-venta&area=veracruz&pos=22,110,2,2
"Corporativo en venta en Veracruz Col Centro de 3 pisos #294Int. 164, Col. Veracruz Centro, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91700, ID: 29834419","$3,600,000 MXN","Corporativo en venta en Veracruz Col Centro de 3 pisos  #294Int. 164, Col. Veracruz Centro",https://propiedades.com/inmuebles/casa-en-venta-corporativo-en-venta-en-veracruz-col-centro-de-3-pisos-294-veracruz-centro-veracruz-29834419#pagina=2&tipos=casas-venta&area=veracruz&pos=23,No disponible,No disponible,No disponible
"Casa en venta en Veracruz Fracc Lomas de la Rioja #291Int. 194, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29822542","$2,950,000 MXN","Casa en venta en Veracruz Fracc Lomas de la Rioja  #291Int. 194, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-fracc-lomas-de-la-rioja-291-lomas-de-la-rioja-veracruz-29822542#pagina=2&tipos=casas-venta&area=veracruz&pos=24,114,2,2
"Casa en venta en Veracruz un piso Fracc Lomas mediterráneo #58Int. 19, Col. Las Lomas Residencial, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29914711","$2,800,000 MXN","Casa en venta en Veracruz un piso Fracc Lomas mediterráneo #58Int. 19, Col. Las Lomas Residencial",https://propiedades.com/inmuebles/casa-en-venta-casa-en-venta-en-veracruz-un-piso-fracc-lomas-mediterraneo-58-las-lomas-residencial-veracruz-29914711#pagina=2&tipos=casas-venta&area=veracruz&pos=25,115,2,2
